Course Name,Course ID,Topic,Topic ID,Session Name/Unit Name,Set Type,Unit ID,Duration (in mins),Languages,Session Link,Outcomes,Prerequisites
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs:  Reading Material 2,LEARNING_SET,7367654f-37da-4656-8136-6196756110ba,2,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs : Activity 1,QUIZ,8f2726b5-0367-44b2-8489-74f9b8dcb8c4,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs: Speaking Practice,LEARNING_SET,aa4ae33d-e0eb-4b90-aba0-f3edf9f22b41,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs: Listening Exercise,LEARNING_SET,bed6d9b0-7a81-4b23-843d-2d38d6d8b7cb,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs:  Reading Material,LEARNING_SET,c034fa97-2565-4156-a6ef-e11c443976e0,3,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs: Daily Quiz,EXAM,adefa9c4-4b90-491c-9629-11338b7715ad,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs:  Daily Practice,PRACTICE,99019f09-1e5e-41ca-ace8-c8f5e59ea6f3,25,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal verbs : Activity 2,QUIZ,76c0d7ac-bc30-4090-a14b-a21cacb31375,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Modal Verbs,00446455-5773-427d-ba59-ed0e80997102,Modal Verbs,LEARNING_SET,e68be439-d495-4d87-969b-014970335bd5,60,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple 1,018f53e6-90ae-49f3-89e5-cf1ad667da46,Tenses Future Simple 1: Activity,QUIZ,1a0cf5fb-5ff9-4167-92b3-e513d3797af1,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple 1,018f53e6-90ae-49f3-89e5-cf1ad667da46,Tenses Future Simple 1: Daily Practice,PRACTICE,41d687a0-fc80-431e-bf21-4d475846cc80,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple 1,018f53e6-90ae-49f3-89e5-cf1ad667da46,Future Simple 1,LEARNING_SET,75a53525-8793-4409-b901-b3c4b8bd832b,60,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple 1,018f53e6-90ae-49f3-89e5-cf1ad667da46,Tenses Future Simple 1: Reading Material,LEARNING_SET,ca3bb27b-698a-4494-83f4-a87503e1a07f,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple 1,018f53e6-90ae-49f3-89e5-cf1ad667da46,Future Simple 1: Speaking Practice,LEARNING_SET,e47b1d9d-cc76-41bf-9ca6-d385eedbdddd,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple 1,018f53e6-90ae-49f3-89e5-cf1ad667da46,Tenses Future Simple 1: Listening Exercise,LEARNING_SET,481bc730-5608-49b2-9419-1981d21d68b4,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Scenario Revision- Future Simple:  Reading Material,LEARNING_SET,1c755e80-f047-4318-a43e-52f2200a5484,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Future Simple: Scenario Application,LEARNING_SET,01466852-e245-4539-a9c2-52da14c5e328,60,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Scenario Revision - Future Simple: Daily Quiz,EXAM,c3d8fd29-93df-4410-9fd7-fccab0f70fd7,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Scenario Revision- Future Simple:  Daily Practice,PRACTICE,d408a280-1dd8-4f88-bcee-95a147f1239e,25,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Scenario Revision - Future Simple: Activity,LEARNING_SET,58933e17-1c60-4150-b752-9902e989726d,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Future Simple: Scenario Application: Speaking Practice,LEARNING_SET,7027aedf-5545-4d61-b530-c638017cae26,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Future Simple: Scenario Application,037d66d2-f21c-432c-9ba3-22db1f6b78d8,Module Quiz 1,EXAM,0b6b99cd-144e-4564-ad50-df072fdc9191,60,,,,
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,MCQ Practice,PRACTICE,eb8c22aa-fc64-4c88-b239-035792566cb4,,,,,
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,Working with File System,LEARNING_SET,1db236eb-966d-4db0-ae4d-f1c845c4b706,,English,,"1. To understand about file systems in detail.
2. To learn to list the files of a folder, open or delete a file, accessing a file, view hidden files etc.
3. To get familiar with the concept of directories and hence understand the comman commands for opening, accessing and modifying directories.
4. To understand about file path, and hence absolute and relative path
5. To understand common operations on directores and their commands ",
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,MCQ Practice,PRACTICE,af5375de-3795-48d2-8afb-d2578c4451d5,,,,,
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,Working With File System | Reading Material,LEARNING_SET,9e910b2c-63fe-4668-a9a6-a32c5eaac6f1,,,,,
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,Getting Started with Command Line,LEARNING_SET,79b0c682-11fe-41b1-bec5-26ac50b25f92,,English,,"1. To understand about GUI & CUI and hence understand their differences.
2. To develope an understand about Shell and see few different shells.
3. To have an overview of comman shell commands.",
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,Getting Started with Command Line | Reading Material,LEARNING_SET,e663c65d-c331-4663-9b30-c171bd22eafb,,,,,
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,Command Line & File System Basics,0ea188eb-6842-4d9e-b085-2fbf80c03759,Working with Directories | Reading Material,LEARNING_SET,bac7bd86-c6cb-410a-879a-98988110a34f,,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Real Time Session 4,153cef3c-75b6-4aa0-9b76-f6ced35dcf19,Real Time Session 4: Speaking Practice,LEARNING_SET,6fc95142-dea6-4a10-97e5-387870265239,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Real Time Session 4,153cef3c-75b6-4aa0-9b76-f6ced35dcf19,Real Time Session 4: Activity,LEARNING_SET,4b193a32-5938-4fba-881c-de6f7dac54ff,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Tenses Past Perfect Continuous: Reading Material,LEARNING_SET,1a713703-49c8-4420-a80e-7db1ee390330,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Past Perfect Continuous,LEARNING_SET,5d1e111f-03a6-4581-9917-f7e6e7834ee9,60,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Tenses Past Perfect Continuous: Daily Practice,PRACTICE,862a44a1-3afc-4502-ba46-c00f9a139430,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Tenses Past Perfect Continuous: Listening Exercise,LEARNING_SET,059bc0d3-d515-4614-88f4-4427371c46eb,5,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Past Perfect Continuous: Speaking Practice,LEARNING_SET,3a51f673-c08a-44e2-bd43-8212340f8b13,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Tenses Past Perfect Continuous: Daily Quiz,EXAM,a25c0a56-b6a8-4f37-be29-02dc7407370c,15,,,,
Communicative English Advanced,bfd0a2ef-eb93-4e4b-bc1c-9acac895d6a4,Past Perfect Continuous,18454c28-2ef2-4fd3-9653-4fe5751be97b,Tenses Past Perfect Continuous: Activity,QUIZ,549a01e8-79fb-42c4-acaa-95ebb89f2404,5,,,,
Linux and Git Essentials,2250340c-d8b5-4fc2-b3ff-7475b5a4cacf,File Management & Command Utilities,28c6761c-7cd7-4317-acc2-d2f1165c5bcd,Miscellaneous Commands - Part I | Reading Material,LEARNING_SET,8520ec7b-b278-48b8-8a7d-98c90099a2c2,,,,,
